"","sample1","sample2","bNRI","RC","Process","Process_contribution"
"1","DMRSCSCY_2019","CWRSCSCY_2019",-4.03840218343479,-1,"Environmental filtering",1
"2","HSCSCSCY_2019","CWRSCSCY_2019",-3.85993198220518,-0.841,"Environmental filtering",1
"3","HTMSCSCY_2019","CWRSCSCY_2019",-3.42781609876816,-0.701,"Environmental filtering",1
"4","KNZSCSCY_2020","CWRSCSCY_2019",-4.50964463836284,0.39,"Environmental filtering",1
"5","KWDSCSCY_2019","CWRSCSCY_2019",-3.13812157742853,0.648,"Environmental filtering",1
"6","MPSCSCY_2019","CWRSCSCY_2019",-4.12213088768078,-0.456,"Environmental filtering",1
"7","PCSCSCY_2019","CWRSCSCY_2019",-4.7724137148684,-0.998,"Environmental filtering",1
"8","RRSCSCY_2019","CWRSCSCY_2019",-2.25194363755463,-1,"Environmental filtering",1
"9","SPSCSCY_2019","CWRSCSCY_2019",-3.7951672389048,-1,"Environmental filtering",1
"10","HSCSCSCY_2019","DMRSCSCY_2019",-3.18912994291621,0.958,"Environmental filtering",1
"11","HTMSCSCY_2019","DMRSCSCY_2019",-2.50257348974641,-1,"Environmental filtering",1
"12","KNZSCSCY_2020","DMRSCSCY_2019",-3.91874457704429,1,"Environmental filtering",1
"13","KWDSCSCY_2019","DMRSCSCY_2019",-2.50386284859655,1,"Environmental filtering",1
"14","MPSCSCY_2019","DMRSCSCY_2019",-3.32974860643013,-1,"Environmental filtering",1
"15","PCSCSCY_2019","DMRSCSCY_2019",-3.90461502751731,-1,"Environmental filtering",1
"16","RRSCSCY_2019","DMRSCSCY_2019",-1.64554250238945,-0.896,"Ecological Drift",1
"17","SPSCSCY_2019","DMRSCSCY_2019",-3.06998469137939,-1,"Environmental filtering",1
"18","HTMSCSCY_2019","HSCSCSCY_2019",-2.40118193306905,1,"Environmental filtering",1
"19","KNZSCSCY_2020","HSCSCSCY_2019",-3.28976072689181,1,"Environmental filtering",1
"20","KWDSCSCY_2019","HSCSCSCY_2019",-1.79656911518257,-1,"Homogenizing dispersal",1
"21","MPSCSCY_2019","HSCSCSCY_2019",-3.05065493803315,0.797,"Environmental filtering",1
"22","PCSCSCY_2019","HSCSCSCY_2019",-3.553236793853,0.956,"Environmental filtering",1
"23","RRSCSCY_2019","HSCSCSCY_2019",-1.25824726328916,-1,"Homogenizing dispersal",1
"24","SPSCSCY_2019","HSCSCSCY_2019",-2.92288851486905,0.851,"Environmental filtering",1
"25","KNZSCSCY_2020","HTMSCSCY_2019",-3.3426896295021,1,"Environmental filtering",1
"26","KWDSCSCY_2019","HTMSCSCY_2019",-1.76646042945616,1,"Dispersal limitation",1
"27","MPSCSCY_2019","HTMSCSCY_2019",-2.47941148770738,-0.998,"Environmental filtering",1
"28","PCSCSCY_2019","HTMSCSCY_2019",-3.14981466793014,-1,"Environmental filtering",1
"29","RRSCSCY_2019","HTMSCSCY_2019",-0.836221221923735,0.99,"Dispersal limitation",1
"30","SPSCSCY_2019","HTMSCSCY_2019",-2.56806313886076,-0.734,"Environmental filtering",1
"31","KWDSCSCY_2019","KNZSCSCY_2020",-2.64915090126282,1,"Environmental filtering",1
"32","MPSCSCY_2019","KNZSCSCY_2020",-3.6416187939272,1,"Environmental filtering",1
"33","PCSCSCY_2019","KNZSCSCY_2020",-5.04617680374838,1,"Environmental filtering",1
"34","RRSCSCY_2019","KNZSCSCY_2020",-1.73793666869453,0.989,"Dispersal limitation",1
"35","SPSCSCY_2019","KNZSCSCY_2020",-3.77717057891444,0.967,"Environmental filtering",1
"36","MPSCSCY_2019","KWDSCSCY_2019",-2.45423825466651,1,"Environmental filtering",1
"37","PCSCSCY_2019","KWDSCSCY_2019",-3.09491152108434,1,"Environmental filtering",1
"38","RRSCSCY_2019","KWDSCSCY_2019",-0.611873003382507,-0.978,"Homogenizing dispersal",1
"39","SPSCSCY_2019","KWDSCSCY_2019",-2.24012944580798,0.976,"Environmental filtering",1
"40","PCSCSCY_2019","MPSCSCY_2019",-3.5767871244849,-1,"Environmental filtering",1
"41","RRSCSCY_2019","MPSCSCY_2019",-1.68219690875075,0.91,"Ecological Drift",1
"42","SPSCSCY_2019","MPSCSCY_2019",-3.17076017634381,-0.466,"Environmental filtering",1
"43","RRSCSCY_2019","PCSCSCY_2019",-2.10870616672612,-0.116,"Environmental filtering",1
"44","SPSCSCY_2019","PCSCSCY_2019",-3.8458203252,-0.956,"Environmental filtering",1
"45","SPSCSCY_2019","RRSCSCY_2019",-1.43794361860475,-1,"Homogenizing dispersal",1
